variant,estimator_family,basis,features,feature_count,q_model_kind,alpha_model_kind,beta_model_kind,drift_model_kind,closed_form,description,holdout_family,mean_train_auc,mean_test_auc,generalization_gap,q_train_auc,q_test_auc,alpha_train_auc,alpha_test_auc,beta_train_auc,beta_test_auc,drift_train_auc,drift_test_auc,mean_brier,mean_ece,boundary_within_one,mean_oracle_gap,mean_stop_utility
hazard_quadratic_drop_hidden_l2_shift,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating hidden_l2_shift.,Qwen 0.5B,0.6580750186622905,0.609546937337708,0.04852808132458242,0.6864449349954062,0.5385563259914496,0.5998081045305597,0.6353945019199256,0.6879720164609053,0.6546899841017488,,,0.23068030106192214,0.440415333598496,0.6644444444444444,0.09044444444444447,-0.002055555555555569
hazard_quadratic_drop_hidden_l2_shift,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating hidden_l2_shift.,Qwen 7B,0.6672134502856858,0.7100022899795628,-0.042788839693877034,0.6600733791548081,0.7551145188367374,0.6326562698444665,0.6049097893954765,0.7089107018577827,0.7699825617064746,,,0.2343158636630557,0.26458253805542137,0.3788888888888889,0.46211111111111114,0.2985
hazard_quadratic_combo_entropymean_entropystd_confidence_hiddenl2shift,hazard,quadratic,"entropy_mean, entropy_std, confidence, hidden_l2_shift",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,DeepSeek 1.5B,0.7978741007704765,0.5016372817305718,0.29623681903990473,0.7185491348946388,0.5117909361743023,0.804868212859617,0.4892517735498061,0.8702049545571735,0.5038691354676069,,,0.18030829705277981,0.172268970755171,0.16777777777777778,0.5861666666666666,0.03011111111111111
hazard_quadratic_combo_entropymean_entropystd_confidence_hiddenl2shift,hazard,quadratic,"entropy_mean, entropy_std, confidence, hidden_l2_shift",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Mistral 7B,0.747992665194474,0.5290682542282944,0.21892441096617965,0.6927980422414026,0.5551439336929276,0.7350281730752426,0.617293615003866,0.8161517802667769,0.4147672139880896,,,0.20420974189985164,0.2965307227711385,0.3522222222222222,0.25055555555555553,0.18788888888888888
hazard_quadratic_combo_entropymean_entropystd_confidence_hiddenl2shift,hazard,quadratic,"entropy_mean, entropy_std, confidence, hidden_l2_shift",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 0.5B,0.7026813545846428,0.6103620628779852,0.09231929170665754,0.6961965536842072,0.5393472912121071,0.6482957561994487,0.7109227871939736,0.7635517538702725,0.5808161102278749,,,0.2205290926238942,0.43312567355816123,0.6655555555555556,0.10505555555555557,-0.016666666666666677
hazard_quadratic_combo_entropymean_entropystd_confidence_hiddenl2shift,hazard,quadratic,"entropy_mean, entropy_std, confidence, hidden_l2_shift",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 7B,0.6121996543546179,0.700818682176083,-0.08861902782146514,0.5705040725843407,0.742739143760587,0.651037888425124,0.5068861267484891,0.6150570020543887,0.8528307760191731,,,0.24079775650965282,0.2779409774818021,0.3422222222222222,0.39555555555555555,0.3650555555555556
hazard_quadratic_combo_entropymean_entropystd_confidence_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, confidence, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,DeepSeek 1.5B,0.7811948787729673,0.5456393257128634,0.2355555530601039,0.7209158579902915,0.6344372901574401,0.8082169038754571,0.5242762849420761,0.8144518744531535,0.4782044020390742,,,0.19130373142031842,0.18576354801954217,0.3711111111111111,0.4521111111111111,0.16416666666666666
hazard_quadratic_combo_entropymean_entropystd_confidence_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, confidence, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Mistral 7B,0.7585098361890915,0.5860933677004805,0.17241646848861103,0.7302656567341781,0.5848022753326478,0.725645788048483,0.670088779270915,0.8196180637846134,0.5033890484978787,,,0.2019560739374163,0.2916929554457612,0.32222222222222224,0.2647777777777778,0.1736666666666667
hazard_quadratic_combo_entropymean_entropystd_confidence_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, confidence, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 0.5B,0.6997504553070236,0.6196336778069492,0.0801167775000744,0.7226515811690779,0.5294081054732835,0.6419932787751162,0.715820431922127,0.7346065059768765,0.6136724960254372,,,0.22145052193360726,0.42983697255094916,0.7111111111111111,0.09461111111111113,-0.006222222222222236
hazard_quadratic_combo_entropymean_entropystd_confidence_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, confidence, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 7B,0.6778600285982358,0.6744811491685794,0.003378879429656423,0.6614620762114051,0.7463811946687788,0.6593877855498473,0.5571315224535285,0.7127302240334551,0.7199307303834308,,,0.23210709812833266,0.28322312249427994,0.3655555555555556,0.44122222222222224,0.3193888888888889
