model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
DeepSeek 1.5B,112,1,0.11666666666666665,0.3,0.38888888888888884,3
DeepSeek 1.5B,113,1,0.16666666666666666,0.4,0.41666666666666663,3
DeepSeek 1.5B,114,2,0.08333333333333333,0.2,0.41666666666666663,3
DeepSeek 1.5B,115,2,0.11666666666666665,0.3,0.38888888888888884,3
DeepSeek 1.5B,116,1,0.55,0.3,1.8333333333333335,3
DeepSeek 1.5B,117,1,0.0,0.0,0.0,3
DeepSeek 1.5B,118,1,0.16666666666666666,0.4,0.41666666666666663,3
DeepSeek 1.5B,119,1,0.18333333333333332,0.35,0.5238095238095238,3
DeepSeek 1.5B,120,2,0.4833333333333333,0.3833333333333333,1.2608695652173914,3
DeepSeek 1.5B,121,1,0.0,0.0,0.0,3
DeepSeek 1.5B,122,2,0.2833333333333333,0.4,0.7083333333333333,3
DeepSeek 1.5B,123,2,0.21666666666666665,0.45,0.4814814814814814,3
DeepSeek 1.5B,124,1,0.65,0.41666666666666663,1.5600000000000003,3
DeepSeek 1.5B,125,1,0.35,0.14999999999999997,2.333333333333334,3
DeepSeek 1.5B,126,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,127,1,0.36666666666666664,0.18333333333333332,2.0,3
DeepSeek 1.5B,128,1,0.1,0.15,0.6666666666666667,3
DeepSeek 1.5B,129,1,0.03333333333333333,0.0,inf,3
DeepSeek 1.5B,130,1,0.21666666666666665,0.31666666666666665,0.6842105263157895,3
DeepSeek 1.5B,131,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,132,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,133,2,0.35,0.2,1.7499999999999998,3
DeepSeek 1.5B,134,1,0.2333333333333333,0.3,0.7777777777777777,3
DeepSeek 1.5B,135,1,0.2,0.3,0.6666666666666667,3
DeepSeek 1.5B,136,1,0.33333333333333337,0.4,0.8333333333333334,3
DeepSeek 1.5B,137,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,138,1,0.0,0.0,0.0,3
DeepSeek 1.5B,139,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,140,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,141,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,142,1,0.13333333333333333,0.2,0.6666666666666666,3
DeepSeek 1.5B,143,1,0.15,0.2333333333333333,0.6428571428571429,3
DeepSeek 1.5B,144,2,0.3333333333333333,0.41666666666666663,0.8,3
DeepSeek 1.5B,145,1,0.2,0.2,1.0,3
DeepSeek 1.5B,146,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,147,1,0.14999999999999997,0.4,0.3749999999999999,3
DeepSeek 1.5B,148,2,0.1,0.3,0.33333333333333337,3
DeepSeek 1.5B,149,2,0.5,0.55,0.9090909090909091,3
DeepSeek 1.5B,150,1,0.5166666666666666,0.55,0.9393939393939392,3
DeepSeek 1.5B,151,1,0.2,0.13333333333333333,1.5,3
DeepSeek 1.5B,152,1,0.19999999999999998,0.35,0.5714285714285714,3
DeepSeek 1.5B,153,1,0.06666666666666667,0.1,0.6666666666666666,3
DeepSeek 1.5B,154,1,0.5,0.16666666666666666,3.0,3
DeepSeek 1.5B,155,1,0.0,0.0,0.0,3
DeepSeek 1.5B,156,1,0.45,0.21666666666666665,2.076923076923077,3
DeepSeek 1.5B,157,1,0.15,0.15,1.0,3
DeepSeek 1.5B,158,2,0.4666666666666666,0.26666666666666666,1.7499999999999998,3
DeepSeek 1.5B,159,1,0.18333333333333332,0.5,0.36666666666666664,3
DeepSeek 1.5B,160,1,0.0,0.0,0.0,3
